CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
CI028471,2,CI,9708291425,97,8,14,8,5,5,110,0,1,3,1,2,50,1,1,2,1,3,1,3,1,1,6,6,1,1
CI028471,2,CI,9708291425,97,8,14,8,5,5,110,0,1,3,1,2,50,1,1,2,1,3,2,5,4,3,8,20,3,1
CH041243,2,CH,9708290750,97,8,7,4,3,5,115,0,1,3,1,2,50,1,1,2,4,12,1,4,1,1,3,5,1,1
CG043164,2,CG,9708271940,97,8,19,10,7,3,114,0,1,3,2,2,50,2,4,2,4,16,1,4,1,1,3,5,1,1
C6100125,2,C6,9708271840,97,8,18,10,7,3,108,0,1,3,2,2,50,2,4,2,4,3,2,6,4,3,8,16,3,1
CC030411,2,CC,9708271855,97,8,18,10,7,3,111,0,2,3,2,2,50,2,5,2,4,12,1,3,1,4,6,9,1,1
CC030411,2,CC,9708271855,97,8,18,10,7,3,111,0,2,3,2,2,50,2,5,2,4,12,1,6,1,4,1,9,1,1
CC030411,2,CC,9708271855,97,8,18,10,7,3,111,0,2,3,2,2,50,2,5,2,4,12,2,2,4,3,8,20,3,2
CI027769,2,CI,9708272013,97,8,20,11,7,3,110,0,1,3,2,2,40,1,1,2,3,16,1,3,1,1,6,9,1,1
CE100908,2,CE,9708272140,97,8,21,11,8,3,116,0,3,3,2,2,40,1,1,2,4,15,1,5,1,1,6,9,1,1
CE100908,2,CE,9708272140,97,8,21,11,8,3,116,0,3,3,2,2,40,1,1,2,4,15,1,4,4,3,8,20,3,1
C7100905,2,C7,9708272130,97,8,21,11,8,3,104,0,1,3,2,2,50,1,1,2,2,16,1,3,1,1,6,9,1,1
CC100366,2,CC,9708280117,97,8,1,1,1,4,111,0,1,3,2,2,50,1,1,2,4,15,1,4,1,1,3,9,1,1
C5105349,2,C5,9708272320,97,8,23,12,8,3,103,0,1,3,2,2,50,1,1,2,1,17,1,8,1,1,6,9,1,1
C9016308,2,C9,9708261250,97,8,12,7,5,2,100,0,1,3,1,2,50,1,1,2,2,3,1,4,1,1,3,6,1,1
CE103244,2,CE,9708260735,97,8,7,4,3,2,116,0,1,3,1,2,40,1,1,2,4,16,1,4,3,4,6,21,1,1
CH041209,2,CH,9708261639,97,8,16,9,6,2,115,0,1,3,1,2,50,1,1,2,3,15,1,4,1,1,6,9,1,1
CD100041,2,CD,9707261110,97,7,11,6,4,6,112,0,1,3,1,2,70,1,1,2,1,16,1,3,1,1,6,9,1,1
CB023060,2,CB,9708261835,97,8,18,10,7,2,105,0,1,3,2,2,40,1,1,2,2,3,1,6,1,1,4,5,1,1
CG045468,2,CG,9707270950,97,7,9,5,4,7,114,0,1,3,1,2,50,1,1,2,2,16,2,4,1,1,3,5,1,1
CA019107,2,CA,9708260110,97,8,1,1,1,2,100,0,1,3,2,2,50,1,1,2,4,15,1,3,1,1,6,9,1,1
C7100365,2,C7,9707311720,97,7,17,9,6,4,104,0,2,3,1,2,40,1,1,2,1,15,1,8,1,1,6,9,1,1
CC100512,2,CC,9708251110,97,8,11,6,4,1,111,0,1,3,1,2,50,1,1,2,4,16,2,6,1,1,3,1,1,1
C6100124,2,C6,9708261630,97,8,16,9,6,2,108,0,1,3,1,2,50,2,4,2,4,12,1,5,1,1,3,7,1,1
C8015453,2,C8,9707272135,97,7,21,11,8,7,106,0,1,1,2,2,50,1,1,1,1,16,1,4,1,1,3,5,1,1
CI028783,2,CI,9708250825,97,8,8,5,3,1,110,0,1,3,1,2,50,2,2,2,3,16,1,3,1,1,6,9,1,1
C8100017,2,C8,9708260730,97,8,7,4,3,2,106,0,1,3,1,2,50,2,6,2,4,14,1,6,1,1,3,2,1,1
CB023345,2,CB,9708281357,97,8,13,7,5,4,105,0,1,3,1,2,50,1,1,2,4,15,1,5,3,4,8,9,4,2
CB023345,2,CB,9708281357,97,8,13,7,5,4,105,0,1,3,1,2,50,1,1,2,4,15,2,5,1,1,6,9,1,1
C6003492,2,C6,9705221215,97,5,12,7,5,4,108,0,1,3,1,2,50,2,4,2,4,3,1,3,4,3,8,16,3,1
CD034553,2,CD,9708272345,97,8,23,12,8,3,112,0,2,3,2,2,50,1,1,2,4,12,1,2,1,1,6,9,1,1
CD034553,2,CD,9708272345,97,8,23,12,8,3,112,0,2,3,2,2,50,1,1,2,4,12,2,2,4,3,8,20,3,1
CI027761,2,CI,9708011146,97,8,11,6,4,5,110,0,1,3,1,2,50,1,1,2,4,16,2,6,1,1,6,7,1,1
C5105672,2,C5,9708261045,97,8,10,6,4,2,103,0,2,3,1,2,50,1,1,2,1,13,2,6,1,1,8,20,3,2
C5000948,2,C5,9707301730,97,7,17,9,6,3,103,0,6,3,1,2,50,1,1,2,2,17,1,6,1,1,3,15,1,2
C5000948,2,C5,9707301730,97,7,17,9,6,3,103,0,6,3,1,2,50,1,1,2,2,17,1,6,1,1,3,9,1,1
CG042896,2,CG,9707291857,97,7,18,10,7,2,114,0,1,1,2,2,50,1,1,1,4,13,2,4,1,4,3,1,1,1
CI028212,2,CI,9708280838,97,8,8,5,3,4,110,0,1,3,1,2,50,2,4,2,4,12,2,3,1,1,6,9,1,1
C6004688,2,C6,9708211740,97,8,17,9,6,4,108,0,1,3,1,2,50,2,4,2,4,2,1,1,4,3,8,20,3,1
CD036248,2,CD,9703091750,97,3,17,9,6,7,112,0,1,3,1,2,60,1,1,2,1,12,1,3,1,1,3,6,1,1
CG044089,2,CG,9703190645,97,3,6,4,3,3,114,0,1,2,1,2,50,1,1,1,2,12,1,6,1,1,3,5,1,1
CG042539,2,CG,9703190759,97,3,7,4,3,3,114,0,1,1,1,2,50,1,1,1,4,15,1,3,1,1,6,9,1,1
CH039801,2,CH,9703191435,97,3,14,8,5,3,115,0,1,3,1,2,50,1,1,2,3,15,1,5,1,1,6,9,1,1
CG044092,2,CG,9703191250,97,3,12,7,5,3,114,0,1,2,1,2,50,2,4,2,4,12,2,3,1,1,6,9,1,1
CG041454,2,CG,9703191005,97,3,10,6,4,3,114,0,1,2,1,2,50,1,1,1,1,15,1,5,1,1,6,1,1,1
C9015988,2,C9,9703181030,97,3,10,6,4,2,100,0,1,1,1,2,50,1,1,1,2,3,1,7,1,1,4,9,1,1
CF039450,2,CF,9703191605,97,3,16,9,6,3,116,0,1,3,1,2,50,1,1,2,1,12,1,8,1,1,6,9,1,1
C7008375,2,C7,9703191600,97,3,16,9,6,3,104,0,1,3,1,2,50,1,1,2,1,15,1,5,1,1,6,9,1,1
CF039493,2,CF,9703191120,97,3,11,6,4,3,116,0,1,3,1,2,50,1,1,2,1,15,1,5,1,1,1,9,1,1
CF038551,2,CF,9703180845,97,3,8,5,3,2,116,0,2,1,1,2,50,2,4,1,4,17,2,4,4,3,8,19,3,2
CF038551,2,CF,9703180845,97,3,8,5,3,2,116,0,2,1,1,2,50,2,4,1,4,17,1,5,1,1,4,13,1,1
CF039493,2,CF,9703191120,97,3,11,6,4,3,116,0,1,3,1,2,50,1,1,2,1,15,2,9,4,3,8,20,3,1
C7008126,2,C7,9703191730,97,3,17,9,6,3,104,0,1,2,1,2,50,1,1,2,1,3,1,6,3,4,4,9,4,2
CI025637,2,CI,9703191500,97,3,15,8,6,3,110,0,2,3,1,2,50,2,4,2,4,16,1,3,1,1,6,9,1,1
CG041450,2,CG,9703180720,97,3,7,4,3,2,114,0,1,1,1,2,50,1,1,1,2,15,2,6,1,1,6,9,1,1
CG041807,2,CG,9703182320,97,3,23,12,8,2,114,0,2,1,2,2,50,1,1,1,2,15,2,3,1,4,3,5,1,1
CC030118,2,CC,9702281630,97,2,16,9,6,4,111,0,1,2,1,2,50,1,1,2,1,17,1,6,1,1,3,13,1,1
CG044204,2,CG,9703191130,97,3,11,6,4,3,114,0,1,3,1,2,50,2,4,2,4,13,2,6,1,1,6,9,2,1
C5000762,2,C5,9703031650,97,3,16,9,6,1,103,0,1,3,1,2,50,1,1,2,2,12,1,4,1,1,3,6,1,1
C7007006,2,C7,9703201710,97,3,17,9,6,4,104,0,1,3,1,2,50,1,1,2,4,15,1,5,1,1,6,9,1,1
C9016970,2,C9,9703201810,97,3,18,10,7,4,100,0,2,3,2,2,50,1,1,2,4,12,2,4,1,1,3,9,1,1
C9016970,2,C9,9703201810,97,3,18,10,7,4,100,0,2,3,2,2,50,1,1,2,4,12,1,2,4,3,8,20,3,2
CI028665,2,CI,9703201705,97,3,17,9,6,4,110,0,1,3,1,2,50,2,2,2,4,13,1,2,1,1,6,9,1,1
CG044098,2,CG,9703212100,97,3,21,11,8,5,114,0,1,3,1,2,50,2,4,2,4,16,2,3,1,1,6,9,1,1
C8012901,2,C8,9703211840,97,3,18,10,7,5,106,0,1,3,2,2,50,1,1,2,1,16,1,5,1,1,4,9,1,1
C8012903,2,C8,9703212140,97,3,21,11,8,5,106,0,3,3,2,2,50,1,7,2,4,15,1,1,4,3,7,11,3,1
CH040207,2,CH,9703050840,97,3,8,5,3,3,115,0,1,3,1,2,50,2,4,2,4,17,1,4,1,1,4,5,1,1
CC030347,2,CC,9703191745,97,3,17,9,6,3,111,0,1,3,1,2,50,4,4,2,4,12,1,2,1,1,6,9,1,1
CF038713,2,CF,9703191530,97,3,15,8,6,3,116,0,1,3,1,2,50,1,1,2,1,11,1,3,3,4,6,9,1,1
CF038713,2,CF,9703191530,97,3,15,8,6,3,116,0,1,3,1,2,50,1,1,2,1,11,1,7,3,4,4,5,1,1
C8012317,2,C8,9703191055,97,3,10,6,4,3,106,0,1,3,1,2,40,1,1,2,3,12,1,4,1,1,6,9,1,1
C7007004,2,C7,9703191940,97,3,19,10,7,3,104,0,1,3,2,2,50,1,1,2,4,12,2,3,1,1,6,9,1,1
CF038714,2,CF,9703191710,97,3,17,9,6,3,116,0,1,3,1,2,50,1,1,2,4,3,2,7,4,3,8,16,3,1
C7007004,2,C7,9703191940,97,3,19,10,7,3,104,0,1,3,2,2,50,1,1,2,4,12,1,5,1,1,3,13,1,1
C7007587,2,C7,9703191350,97,3,13,7,5,3,104,0,1,2,1,2,50,2,2,2,4,17,1,4,1,1,6,9,1,1
C5000734,2,C5,9703191400,97,3,14,8,5,3,103,0,2,3,1,2,50,2,4,2,4,12,1,4,1,1,1,9,1,1
C5000734,2,C5,9703191400,97,3,14,8,5,3,103,0,2,3,1,2,50,2,4,2,4,12,1,8,1,1,6,9,1,1
CD036884,2,CD,9703200940,97,3,9,5,4,4,112,0,1,3,1,2,60,1,1,2,2,16,1,3,1,1,6,9,1,1
CG044093,2,CG,9703201930,97,3,19,10,7,4,114,0,1,3,2,2,50,1,1,2,4,16,2,4,1,1,6,5,1,1
CG044093,2,CG,9703201930,97,3,19,10,7,4,114,0,1,3,2,2,50,1,1,2,4,16,1,6,1,1,4,9,1,1
C6104036,2,C6,9712170738,97,12,7,4,3,3,108,0,3,3,1,2,40,4,3,2,4,13,1,4,1,1,6,9,1,1
CB023463,2,CB,9708280840,97,8,8,5,3,4,105,0,2,3,1,2,40,2,4,2,1,12,1,3,1,1,6,12,1,1
CB023463,2,CB,9708280840,97,8,8,5,3,4,105,0,2,3,1,2,40,2,4,2,1,12,1,3,1,1,6,9,1,1
C7100187,2,C7,9707291450,97,7,14,8,5,2,104,0,1,1,1,2,50,2,3,1,4,16,1,6,1,1,3,7,1,1
C5001194,2,C5,9708260820,97,8,8,5,3,2,103,0,1,3,1,2,50,1,1,2,4,17,1,3,1,1,6,9,1,2
CG045582,2,CG,9708281420,97,8,14,8,5,4,114,0,3,3,1,2,50,1,1,2,2,15,1,5,1,1,3,9,1,1
C5105350,2,C5,9708280047,97,8,0,1,1,4,103,0,2,2,2,2,40,1,1,2,2,3,2,6,4,3,8,16,3,2
C8015076,2,C8,9707301225,97,7,12,7,5,3,106,0,1,3,1,2,50,1,1,2,2,12,2,4,1,1,3,6,1,1
C5103770,2,C5,9708280540,97,8,5,3,2,4,103,0,2,3,1,2,50,1,1,2,2,12,2,6,1,1,6,9,1,1
CA019240,2,CA,9708281630,97,8,16,9,6,4,100,0,1,3,1,2,50,2,4,2,4,12,2,6,1,1,6,9,1,1
C7100070,2,C7,9707301735,97,7,17,9,6,3,104,0,1,3,1,2,50,2,3,2,4,12,1,7,1,1,6,9,1,1
CG045582,2,CG,9708281420,97,8,14,8,5,4,114,0,3,3,1,2,50,1,1,2,2,15,2,1,4,3,8,20,3,2
CG045582,2,CG,9708281420,97,8,14,8,5,4,114,0,3,3,1,2,50,1,1,2,2,15,1,1,4,3,8,20,3,2
CC100130,2,CC,9708281620,97,8,16,9,6,4,111,0,1,3,1,2,40,2,4,2,4,10,1,9,1,1,6,9,1,1
CE103058,2,CE,9708281540,97,8,15,8,6,4,116,0,1,3,1,2,50,1,1,2,1,17,1,7,4,3,7,5,3,1
CA019169,2,CA,9708201330,97,8,13,7,5,3,100,0,1,3,1,2,50,1,1,2,2,12,1,6,1,1,4,9,1,1
CA019169,2,CA,9708201330,97,8,13,7,5,3,100,0,1,3,1,2,50,1,1,2,2,12,2,6,1,1,6,9,1,1
C6100693,2,C6,9708281410,97,8,14,8,5,4,108,0,1,3,1,2,40,1,1,2,4,15,1,4,1,1,3,9,1,1
C5105674,2,C5,9708292035,97,8,20,11,7,5,103,0,1,3,2,2,50,2,4,2,4,16,2,6,1,1,8,20,3,2
C9100318,2,C9,9708281820,97,8,18,10,7,4,100,0,1,3,1,2,50,1,1,2,1,12,1,3,1,4,6,9,1,1
CI028135,2,CI,9708281140,97,8,11,6,4,4,110,0,1,3,1,2,40,1,1,2,4,16,1,6,1,4,4,9,1,1
CI028002,2,CI,9708281622,97,8,16,9,6,4,110,0,1,3,1,2,50,1,1,2,4,3,1,5,1,1,3,6,1,1
CI028002,2,CI,9708281622,97,8,16,9,6,4,110,0,1,3,1,2,50,1,1,2,4,3,2,4,4,3,8,20,3,2
CC100080,2,CC,9708281614,97,8,16,9,6,4,111,0,2,3,1,2,50,2,4,2,4,12,1,5,1,1,6,9,1,1
CC100081,2,CC,9708281735,97,8,17,9,6,4,111,0,2,3,1,2,50,2,6,2,4,3,2,3,4,3,8,16,3,2
CI027772,2,CI,9708281743,97,8,17,9,6,4,110,0,1,3,1,2,50,1,1,2,1,16,2,5,1,1,3,9,1,1
CE100939,2,CE,9708281525,97,8,15,8,6,4,116,0,1,3,1,2,50,1,1,2,3,16,1,5,1,1,6,9,1,1
CE100939,2,CE,9708281525,97,8,15,8,6,4,116,0,1,3,1,2,50,1,1,2,3,16,1,6,1,1,3,5,1,1
CI028312,2,CI,9708282025,97,8,20,11,7,4,110,0,2,3,2,2,50,1,1,2,1,15,1,6,1,1,6,9,1,1
CD102095,2,CD,9708282121,97,8,21,11,8,4,112,0,1,3,2,2,40,1,1,2,4,15,1,3,1,1,6,9,1,1
CI028315,2,CI,9708291720,97,8,17,9,6,5,110,0,1,3,1,2,50,1,1,2,1,11,2,6,1,1,3,6,1,1
CI028315,2,CI,9708291720,97,8,17,9,6,5,110,0,1,3,1,2,50,1,1,2,1,11,2,5,1,1,6,1,1,2
CB022677,2,CB,9708291947,97,8,19,10,7,5,105,0,1,3,2,2,50,1,1,2,3,15,1,2,1,1,6,9,1,1
CB022677,2,CB,9708291947,97,8,19,10,7,5,105,0,1,3,2,2,50,1,1,2,3,15,1,5,1,1,3,9,1,1
CI028339,2,CI,9708301445,97,8,14,8,5,6,110,0,2,3,1,2,50,1,1,2,1,15,1,3,1,1,6,9,1,1
CI028073,2,CI,9708311237,97,8,12,7,5,7,110,0,1,3,1,2,40,1,1,2,4,16,2,3,1,1,3,9,1,1
CG100575,2,CG,9709012230,97,9,22,12,8,1,114,0,1,3,2,2,50,2,4,2,1,10,2,4,1,1,6,9,1,1
CG100396,2,CG,9709012245,97,9,22,12,8,1,114,0,1,3,1,2,50,1,1,2,2,13,1,6,1,1,4,14,1,1
CG100396,2,CG,9709012245,97,9,22,12,8,1,114,0,1,3,1,2,50,1,1,2,2,13,2,4,4,3,8,20,3,2
CE100942,2,CE,9709010710,97,9,7,4,3,1,116,0,1,3,1,2,50,1,1,2,4,16,1,3,1,1,6,9,1,1
CG100342,2,CG,9709161115,97,9,11,6,4,2,114,0,1,3,1,2,50,4,6,2,4,9,1,3,1,1,3,6,1,1
CG041808,2,CG,9703200431,97,3,4,3,2,4,114,0,1,3,2,2,50,1,1,2,2,15,1,5,1,4,3,9,1,1
C8012901,2,C8,9703211840,97,3,18,10,7,5,106,0,1,3,2,2,50,1,1,2,1,16,2,1,4,3,8,20,3,2
C5000734,2,C5,9703191400,97,3,14,8,5,3,103,0,2,3,1,2,50,2,4,2,4,12,2,6,2,3,8,9,3,2
C6003289,2,C6,9703192020,97,3,20,11,7,3,108,0,2,3,2,2,50,1,1,2,2,12,1,5,1,1,6,7,1,1
CE037392,2,CE,9703191915,97,3,19,10,7,3,116,0,2,3,2,2,50,1,1,2,2,12,2,5,4,3,7,9,3,2
C6003712,2,C6,9703192125,97,3,21,11,8,3,108,0,1,2,2,2,50,1,1,2,1,15,1,3,1,1,5,5,2,1
CF038627,2,CF,9703191855,97,3,18,10,7,3,116,0,1,3,2,2,50,2,4,2,4,11,1,5,3,4,4,9,1,1
CD035688,2,CD,9703191520,97,3,15,8,6,3,112,0,3,3,1,2,50,4,4,2,4,16,1,3,1,1,6,9,1,1
C9017401,2,C9,9703192330,97,3,23,12,8,3,100,0,1,3,2,2,50,1,1,2,1,16,1,3,1,1,6,9,1,1
C7007901,2,C7,9703192330,97,3,23,12,8,3,104,0,1,2,2,2,50,2,4,2,3,12,1,4,4,1,6,13,1,1
CB020939,2,CB,9703210800,97,3,8,5,3,5,105,0,1,3,1,2,50,4,4,2,4,12,2,5,1,1,6,9,1,1
C8012143,2,C8,9703192155,97,3,21,11,8,3,106,0,1,3,2,2,50,1,1,2,2,12,1,4,1,1,6,9,1,1
CB020965,2,CB,9703181900,97,3,19,10,7,2,105,0,1,1,2,2,50,4,2,1,4,13,2,5,1,1,3,9,1,1
CB020965,2,CB,9703181900,97,3,19,10,7,2,105,0,1,1,2,2,50,4,2,1,4,13,1,4,1,1,3,14,1,1
CB020965,2,CB,9703181900,97,3,19,10,7,2,105,0,1,1,2,2,50,4,2,1,4,13,1,6,1,1,3,14,1,1
CB020370,2,CB,9703192125,97,3,21,11,8,3,105,0,1,3,2,2,50,1,1,2,2,15,2,4,1,1,3,9,1,1
C5000655,2,C5,9703180850,97,3,8,5,3,2,103,0,1,3,1,2,50,1,1,2,2,13,1,4,1,4,6,12,1,1
C9017247,2,C9,9703180245,97,3,2,2,1,2,100,0,1,3,2,2,50,1,1,2,1,15,1,3,1,1,3,9,1,1
CC032749,2,CC,9703111131,97,3,11,6,4,2,111,0,2,3,1,2,50,1,1,2,1,16,1,4,1,1,5,9,1,1
CG044201,2,CG,9703161226,97,3,12,7,5,7,114,0,1,3,1,2,50,1,1,2,1,15,1,7,1,1,6,9,1,1
C5000847,2,C5,9703021830,97,3,18,10,7,7,103,0,1,3,2,2,50,2,5,2,4,3,1,3,1,1,6,9,1,1
C5000820,2,C5,9703060155,97,3,1,1,1,4,103,0,2,2,2,2,50,1,1,2,1,16,1,4,1,1,2,5,1,1
CE037529,2,CE,9703181825,97,3,18,10,7,2,116,0,1,1,2,2,50,1,1,1,4,15,1,7,1,1,6,5,1,1
C6003225,2,C6,9703170750,97,3,7,4,3,1,108,0,2,2,1,2,50,1,1,2,2,3,2,6,4,3,8,16,3,1
C6003225,2,C6,9703170750,97,3,7,4,3,1,108,0,2,2,1,2,50,1,1,2,2,3,1,3,1,1,6,9,1,1
C7007298,2,C7,9703141835,97,3,18,10,7,5,104,0,1,3,2,2,30,4,2,2,4,12,1,4,1,1,1,9,4,2
C5001836,2,C5,9703181940,97,3,19,10,7,2,103,0,1,3,2,2,50,1,1,2,4,15,2,4,1,1,6,14,1,1
CD035964,2,CD,9701202050,97,1,20,11,7,7,112,0,1,2,2,2,50,1,1,2,2,3,1,6,1,1,1,6,1,1
C6003290,2,C6,9703200900,97,3,9,5,4,4,108,0,2,3,1,2,40,2,4,2,4,13,1,5,1,1,6,9,1,1
CG042538,2,CG,9703182040,97,3,20,11,7,2,114,0,1,1,2,2,50,2,4,1,4,17,1,5,1,1,6,13,2,1
CE037382,2,CE,9703181620,97,3,16,9,6,2,116,0,3,2,1,2,50,1,1,2,2,15,1,2,1,1,6,5,1,1
C7008223,2,C7,9703200815,97,3,8,5,3,4,104,0,2,3,1,2,50,1,1,2,4,12,2,4,1,1,6,9,1,1
CG043987,2,CG,9703181230,97,3,12,7,5,2,114,0,1,1,1,2,50,1,1,2,4,15,1,4,1,1,3,5,1,1
CG042545,2,CG,9703200830,97,3,8,5,3,4,114,0,2,3,1,2,50,1,1,2,4,15,2,5,1,1,6,9,1,1
C7008164,2,C7,9703200850,97,3,8,5,3,4,104,0,1,3,1,2,50,1,1,2,4,12,1,4,1,1,6,9,1,1
C7007784,2,C7,9703212120,97,3,21,11,8,5,104,0,1,3,2,2,40,2,2,2,4,12,2,3,1,1,6,9,1,1
C9016853,2,C9,9703200945,97,3,9,5,4,4,100,0,1,3,1,2,50,1,1,2,2,12,2,5,1,1,6,9,1,1
C9017048,2,C9,9703201215,97,3,12,7,5,4,100,0,1,3,1,2,50,2,4,2,4,17,1,3,4,4,5,15,1,1
C9017048,2,C9,9703201215,97,3,12,7,5,4,100,0,1,3,1,2,50,2,4,2,4,17,1,3,1,1,6,9,1,1
C7008019,2,C7,9703201333,97,3,13,7,5,4,104,0,1,3,1,2,50,1,1,2,4,15,2,4,1,1,3,9,1,1
CD036870,2,CD,9704211500,97,4,15,8,6,1,112,0,2,2,1,2,50,2,4,2,4,12,1,4,1,1,1,9,1,1
C5000481,2,C5,9703041910,97,3,19,10,7,2,103,0,2,3,2,2,40,4,4,2,4,13,1,3,1,1,6,15,1,1
CF039450,2,CF,9703191605,97,3,16,9,6,3,116,0,1,3,1,2,50,1,1,2,1,12,1,3,1,1,3,6,1,1
CG041747,2,CG,9703191400,97,3,14,8,5,3,114,0,1,2,1,2,50,2,2,2,4,13,1,6,1,1,6,9,1,1
CG041747,2,CG,9703191400,97,3,14,8,5,3,114,0,1,2,1,2,50,2,2,2,4,13,1,5,1,1,1,14,1,1
C8012448,2,C8,9703211845,97,3,18,10,7,5,106,0,3,3,2,2,50,2,4,2,4,12,1,6,1,1,6,9,1,1
CI025637,2,CI,9703191500,97,3,15,8,6,3,110,0,2,3,1,2,50,2,4,2,4,16,1,2,1,1,6,11,1,1
C8012448,2,C8,9703211845,97,3,18,10,7,5,106,0,3,3,2,2,50,2,4,2,4,12,2,5,1,3,8,21,3,1
CB021159,2,CB,9703031837,97,3,18,10,7,1,105,0,1,3,2,2,40,1,1,2,3,3,1,5,1,1,3,9,1,1
CG044092,2,CG,9703191250,97,3,12,7,5,3,114,0,1,2,1,2,50,2,4,2,4,12,1,5,1,1,3,8,1,1
C7007587,2,C7,9703191350,97,3,13,7,5,3,104,0,1,2,1,2,50,2,2,2,4,17,1,4,3,4,6,21,4,2
C9017049,2,C9,9703202100,97,3,21,11,8,4,100,0,1,3,2,2,50,2,3,2,4,17,1,6,1,1,4,9,1,1
C9017049,2,C9,9703202100,97,3,21,11,8,4,100,0,1,3,2,2,50,2,3,2,4,17,1,6,4,4,3,13,1,2
C9017049,2,C9,9703202100,97,3,21,11,8,4,100,0,1,3,2,2,50,2,3,2,4,17,1,4,4,3,3,13,1,2
C9017049,2,C9,9703202100,97,3,21,11,8,4,100,0,1,3,2,2,50,2,3,2,4,17,2,4,4,3,3,13,1,2
C7007322,2,C7,9703171200,97,3,12,7,5,1,104,0,1,3,1,2,50,1,1,2,4,12,2,3,1,1,6,15,1,1
C8012143,2,C8,9703192155,97,3,21,11,8,3,106,0,1,3,2,2,50,1,1,2,2,12,1,3,1,1,3,6,1,1
C8012191,2,C8,9703170910,97,3,9,5,4,1,106,0,2,3,1,2,50,1,1,2,2,3,1,5,1,1,8,16,3,1
C8012191,2,C8,9703170910,97,3,9,5,4,1,106,0,2,3,1,2,50,1,1,2,2,3,2,3,1,1,6,9,1,1
C7008375,2,C7,9703191600,97,3,16,9,6,3,104,0,1,3,1,2,50,1,1,2,1,15,1,6,1,1,4,9,1,1
C5000437,2,C5,9702272245,97,2,22,12,8,3,103,0,2,3,2,2,50,1,1,2,1,12,1,3,4,3,8,20,3,2
CC030054,2,CC,9703171050,97,3,10,6,4,1,111,0,1,3,1,2,40,4,4,2,4,10,1,3,1,1,6,5,1,1
CI025963,2,CI,9703170815,97,3,8,5,3,1,110,0,1,3,1,2,40,1,1,2,4,15,1,6,1,1,3,5,1,1
CG041380,2,CG,9703221405,97,3,14,8,5,6,114,0,2,3,1,2,50,1,1,2,1,13,1,3,1,1,3,6,1,1
CG044670,2,CG,9703211445,97,3,14,8,5,5,114,0,2,3,1,2,50,1,1,2,4,13,2,3,1,1,6,9,1,1
CG041380,2,CG,9703221405,97,3,14,8,5,6,114,0,2,3,1,2,50,1,1,2,1,13,2,3,1,3,8,20,3,2
CG041299,2,CG,9703210615,97,3,6,4,3,5,114,0,1,3,1,2,50,1,1,2,1,13,1,3,1,1,6,9,1,1
CB020189,2,CB,9703221300,97,3,13,7,5,6,105,0,1,3,1,2,50,2,2,2,4,17,1,4,1,1,3,8,1,1
CE038449,2,CE,9703220935,97,3,9,5,4,6,116,0,1,3,1,2,50,2,2,2,4,16,1,3,3,4,6,9,1,1
C8100146,2,C8,9709011950,97,9,19,10,7,1,106,0,1,3,2,2,50,1,1,2,2,12,1,3,1,1,3,14,1,1
CA100001,2,CA,9709011945,97,9,19,10,7,1,100,0,3,2,2,2,50,1,1,2,1,16,1,3,4,3,7,5,3,1
CG100171,2,CG,9709012100,97,9,21,11,8,1,114,0,1,3,2,2,50,1,1,2,1,12,1,3,1,1,3,15,1,1
CG045651,2,CG,9709011315,97,9,13,7,5,1,114,0,1,1,1,2,50,1,1,1,1,17,1,6,1,1,4,5,1,1
CB023292,2,CB,9708301345,97,8,13,7,5,6,105,0,1,3,1,2,40,1,1,2,4,16,1,3,1,1,6,9,1,1
C8100117,2,C8,9708301850,97,8,18,10,7,6,106,0,1,3,2,2,50,1,1,2,4,12,1,3,1,1,3,9,1,1
CC033387,2,CC,9709011200,97,9,12,7,5,1,111,0,3,2,1,2,50,1,1,2,2,16,1,4,1,1,6,9,1,1
CC033387,2,CC,9709011200,97,9,12,7,5,1,111,0,3,2,1,2,50,1,1,2,2,16,1,6,1,1,6,9,1,2
C9100229,2,C9,9710250450,97,10,4,3,2,6,100,0,2,1,2,2,50,1,1,1,1,15,1,4,1,1,4,9,1,1
CC033387,2,CC,9709011200,97,9,12,7,5,1,111,0,3,2,1,2,50,1,1,2,2,16,2,5,4,3,8,20,3,2
CG100169,2,CG,9708291425,97,8,14,8,5,5,114,0,1,3,1,2,50,2,4,2,4,12,1,5,1,1,3,5,1,2
CI028167,2,CI,9708292230,97,8,22,12,8,5,110,0,1,3,2,2,50,1,1,2,1,16,1,4,1,1,6,6,1,1
C5105475,2,C5,9710122245,97,10,22,12,8,7,103,0,2,3,2,2,50,4,5,2,4,16,1,3,1,4,6,5,1,1
C7100728,2,C7,9709030300,97,9,3,2,2,3,104,0,1,2,2,2,50,2,2,2,4,17,2,3,1,1,6,9,1,2
C7100728,2,C7,9709030300,97,9,3,2,2,3,104,0,1,2,2,2,50,2,2,2,4,17,1,4,1,1,4,13,1,1
C9100663,2,C9,9709021610,97,9,16,9,6,2,100,0,1,3,1,2,50,1,1,2,1,16,1,3,1,1,6,5,1,1
